target,feature_count,features,split,held_out_group,n_usable,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,van_gogh,20,17,3,0.0,0.6666666666666666,,0.3389470067373525
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,church,20,15,5,0.4,0.4,0.3333333333333333,0.35566338508242773
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,city,20,19,1,0.0,1.0,,0.12031365744373303
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,coast,20,19,1,0.0,1.0,,0.11505273441732645
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,forest,20,18,2,0.0,1.0,,0.0872936508579263
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,lake,20,14,6,0.0,1.0,,0.18355325119798613
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,snow,20,19,1,0.0,1.0,,0.19566730919633937
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_content_family_out,wave,20,16,4,0.25,0.75,0.5,0.08458361247187128
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_reference_family_out,demuth,20,15,5,0.2,0.8,0.5,0.09065725400687431
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_reference_family_out,hokusai,20,17,3,0.3333333333333333,0.6666666666666666,0.5,0.09391535047825716
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_reference_family_out,kulhanek,20,16,4,0.0,1.0,,0.16367330015476517
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_reference_family_out,monet,20,17,3,0.0,1.0,,0.20266669557048722
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_reference_family_out,peixotto,20,18,2,0.5,0.5,0.5,0.11190440620394325
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_mean,leave_one_reference_family_out,van_gogh,20,17,3,0.0,0.6666666666666666,,0.35182763963218594
