target,feature,n_low,n_high,median_low,median_high,high_minus_low,cliffs_delta_high_vs_low
baseline_takeover_02,color_histogram_distance,18,3,0.41492103040218353,0.4226972162723541,0.007776185870170593,0.037037037037037035
baseline_takeover_02,orientation_distribution_js,18,3,0.1345436889824781,0.08010304473652317,-0.05444064424595492,-0.5185185185185185
baseline_takeover_02,rgb_patch_nearest_cosine_mean,18,3,0.9894859790802002,0.9994781613349915,0.00999218225479126,0.9629629629629629
baseline_takeover_02,rgb_patch_nearest_cosine_p10,18,3,0.9728378802537918,0.9990420341491699,0.026204153895378113,0.9259259259259259
baseline_takeover_02,rgb_patch_mutual_nearest_fraction,18,3,0.06640625,0.0859375,0.01953125,0.46296296296296297
baseline_takeover_02,clip_global_cosine,18,3,0.26295235753059387,0.44960394501686096,0.1866515874862671,0.5925925925925926
baseline_takeover_02,clip_patch_nearest_mean,18,3,0.4903310388326645,0.5282124280929565,0.03788138926029205,0.4444444444444444
baseline_takeover_02,clip_patch_nearest_p10,18,3,0.41665686666965485,0.43566393852233887,0.01900707185268402,0.6666666666666666
baseline_takeover_02,clip_patch_mutual_nearest_fraction,18,3,0.06640625,0.06640625,0.0,0.24074074074074073
baseline_takeover_02,dino_global_cosine,18,3,0.024072472006082535,-0.005841060541570187,-0.02991353254765272,-0.037037037037037035
baseline_takeover_02,dino_patch_nearest_mean,18,3,0.2758168578147888,0.24132195115089417,-0.03449490666389465,0.1111111111111111
baseline_takeover_02,dino_patch_nearest_p10,18,3,0.17935002595186234,0.16180257499217987,-0.017547450959682465,-0.037037037037037035
baseline_takeover_02,dino_patch_mutual_nearest_fraction,18,3,0.087890625,0.0859375,-0.001953125,-0.07407407407407407
late_escalation,content_canny_density,13,10,0.07459259033203125,0.09136962890625,0.01677703857421875,0.3
late_escalation,content_lsd_line_density,13,10,0.045013975352048874,0.03900185227394104,-0.006012123078107834,-0.3153846153846154
late_escalation,content_lsd_length_mean,13,10,16.797773361206055,12.969552040100098,-3.828221321105957,-0.5
late_escalation,content_lsd_length_p90,13,10,29.034586524963395,21.284028148651124,-7.75055837631227,-0.5153846153846153
late_escalation,content_lsd_orientation_entropy,13,10,0.5980039911605619,0.812110896323338,0.21410690516277608,0.36153846153846153
late_escalation,content_lsd_orientation_max_share,13,10,0.4366042702141263,0.27265770997668476,-0.16394656023744153,-0.3153846153846154
late_escalation,reference_canny_density,13,10,0.163665771484375,0.08347702026367188,-0.08018875122070312,-0.45384615384615384
late_escalation,reference_minus_content_canny_density,13,10,0.059513092041015625,0.00257110595703125,-0.056941986083984375,-0.49230769230769234
late_escalation,reference_div_content_canny_density,13,10,1.9648710495392419,1.02921720480893,-0.9356538447303118,-0.5538461538461539
late_escalation,reference_lsd_line_density,13,10,0.050003424286842346,0.05479323863983154,0.004789814352989197,0.36153846153846153
late_escalation,reference_minus_content_lsd_line_density,13,10,0.009779263287782669,0.021674636751413345,0.011895373463630676,0.38461538461538464
late_escalation,reference_div_content_lsd_line_density,13,10,1.2172494922143675,1.5829334860591557,0.3656839938447882,0.4307692307692308
late_escalation,reference_lsd_length_mean,13,10,13.586602210998535,18.29990005493164,4.7132978439331055,0.4230769230769231
