target,subset,feature,n,spearman_rho
incremental_nonzero_count,multiseed_9_pairs,reference_minus_content_lsd_orientation_entropy,9,-0.42203610996510493
incremental_nonzero_count,multiseed_9_pairs,reference_div_content_lsd_orientation_entropy,9,-0.42203610996510493
incremental_nonzero_count,multiseed_9_pairs,reference_lsd_orientation_max_share,9,0.21212121212121213
incremental_nonzero_count,multiseed_9_pairs,reference_minus_content_lsd_orientation_max_share,9,0.4679096001787032
incremental_nonzero_count,multiseed_9_pairs,reference_div_content_lsd_orientation_max_share,9,0.4679096001787032
incremental_nonzero_count,multiseed_9_pairs,lab_mean_distance,9,-0.1651445647689541
incremental_nonzero_count,multiseed_9_pairs,lab_std_distance,9,0.0
incremental_nonzero_count,multiseed_9_pairs,contrast_abs_difference,9,-0.2935903373670295
incremental_nonzero_count,multiseed_9_pairs,log_laplacian_variance_ratio,9,-0.4312108080078246
incremental_nonzero_count,multiseed_9_pairs,high_frequency_abs_difference,9,-0.28441563932430985
incremental_nonzero_count,multiseed_9_pairs,color_histogram_distance,9,0.2935903373670295
incremental_nonzero_count,multiseed_9_pairs,orientation_distribution_js,9,-0.3578132236660672
incremental_nonzero_count,multiseed_9_pairs,rgb_patch_nearest_cosine_mean,9,-0.4954336943068623
incremental_nonzero_count,multiseed_9_pairs,rgb_patch_nearest_cosine_p10,9,-0.4403855060505442
incremental_nonzero_count,multiseed_9_pairs,rgb_patch_mutual_nearest_fraction,9,-0.559753443167147
incremental_nonzero_count,multiseed_9_pairs,clip_global_cosine,9,-0.4312108080078246
incremental_nonzero_count,multiseed_9_pairs,clip_patch_nearest_mean,9,-0.13762047064079508
incremental_nonzero_count,multiseed_9_pairs,clip_patch_nearest_p10,9,-0.30276503540974914
incremental_nonzero_count,multiseed_9_pairs,clip_patch_mutual_nearest_fraction,9,-0.06449216582932459
incremental_nonzero_count,multiseed_9_pairs,dino_global_cosine,9,0.018349396085439344
incremental_nonzero_count,multiseed_9_pairs,dino_patch_nearest_mean,9,-0.09174698042719673
incremental_nonzero_count,multiseed_9_pairs,dino_patch_nearest_p10,9,-0.045873490213598364
incremental_nonzero_count,multiseed_9_pairs,dino_patch_mutual_nearest_fraction,9,-0.6909874910284776
late_escalation,multiseed_9_pairs,content_canny_density,9,0.15032920560056579
late_escalation,multiseed_9_pairs,content_lsd_line_density,9,-0.45098761680169736
late_escalation,multiseed_9_pairs,content_lsd_length_mean,9,-0.9019752336033947
late_escalation,multiseed_9_pairs,content_lsd_length_p90,9,-0.751646028002829
late_escalation,multiseed_9_pairs,content_lsd_orientation_entropy,9,0.5261522196019802
late_escalation,multiseed_9_pairs,content_lsd_orientation_max_share,9,-0.6388991238024045
late_escalation,multiseed_9_pairs,reference_canny_density,9,0.492365963917331
late_escalation,multiseed_9_pairs,reference_minus_content_canny_density,9,0.4099457958749615
late_escalation,multiseed_9_pairs,reference_div_content_canny_density,9,0.33541019662496846
late_escalation,multiseed_9_pairs,reference_lsd_line_density,9,-0.2461829819586655
late_escalation,multiseed_9_pairs,reference_minus_content_lsd_line_density,9,0.372677996249965
late_escalation,multiseed_9_pairs,reference_div_content_lsd_line_density,9,0.4472135954999579
late_escalation,multiseed_9_pairs,reference_lsd_length_mean,9,-0.492365963917331
late_escalation,multiseed_9_pairs,reference_minus_content_lsd_length_mean,9,-0.11180339887498948
late_escalation,multiseed_9_pairs,reference_div_content_lsd_length_mean,9,0.22360679774997896
late_escalation,multiseed_9_pairs,reference_lsd_length_p90,9,-0.492365963917331
late_escalation,multiseed_9_pairs,reference_minus_content_lsd_length_p90,9,-0.11180339887498948
late_escalation,multiseed_9_pairs,reference_div_content_lsd_length_p90,9,0.22360679774997896
late_escalation,multiseed_9_pairs,reference_lsd_orientation_entropy,9,0.6154574548966637
late_escalation,multiseed_9_pairs,reference_minus_content_lsd_orientation_entropy,9,-0.29814239699997197
late_escalation,multiseed_9_pairs,reference_div_content_lsd_orientation_entropy,9,-0.29814239699997197
late_escalation,multiseed_9_pairs,reference_lsd_orientation_max_share,9,-0.2461829819586655
late_escalation,multiseed_9_pairs,reference_minus_content_lsd_orientation_max_share,9,0.4099457958749615
late_escalation,multiseed_9_pairs,reference_div_content_lsd_orientation_max_share,9,0.4099457958749615
late_escalation,multiseed_9_pairs,lab_mean_distance,9,0.11180339887498948
late_escalation,multiseed_9_pairs,lab_std_distance,9,-0.7080881928749334
late_escalation,multiseed_9_pairs,contrast_abs_difference,9,-0.7826237921249265
late_escalation,multiseed_9_pairs,log_laplacian_variance_ratio,9,0.4099457958749615
late_escalation,multiseed_9_pairs,high_frequency_abs_difference,9,-0.7826237921249265
late_escalation,multiseed_9_pairs,color_histogram_distance,9,0.521749194749951
late_escalation,multiseed_9_pairs,orientation_distribution_js,9,-0.4472135954999579
late_escalation,multiseed_9_pairs,rgb_patch_nearest_cosine_mean,9,-0.33541019662496846
late_escalation,multiseed_9_pairs,rgb_patch_nearest_cosine_p10,9,-0.4099457958749615
late_escalation,multiseed_9_pairs,rgb_patch_mutual_nearest_fraction,9,-0.13153805490049505
late_escalation,multiseed_9_pairs,clip_global_cosine,9,0.29814239699997197
late_escalation,multiseed_9_pairs,clip_patch_nearest_mean,9,0.22360679774997896
late_escalation,multiseed_9_pairs,clip_patch_nearest_p10,9,0.2608745973749755
late_escalation,multiseed_9_pairs,clip_patch_mutual_nearest_fraction,9,0.3555285645684319
late_escalation,multiseed_9_pairs,dino_global_cosine,9,0.037267799624996496
late_escalation,multiseed_9_pairs,dino_patch_nearest_mean,9,-0.037267799624996496
late_escalation,multiseed_9_pairs,dino_patch_nearest_p10,9,-0.037267799624996496
late_escalation,multiseed_9_pairs,dino_patch_mutual_nearest_fraction,9,-0.37424059428255996
